Rank,Institution Name,Country,Year,Classification_SIZE,Classification_FOCUS,Research Intensity,Age,Status,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,Overall
  388=,UNIVERSIT?T MANNHEIM,Germany,2018,M,FO,VH,5,A,24.9,84.2,16.4,32,30.6,30.1,31.2
390,UNITED ARAB EMIRATES UNIVERSITY,United Arab Emirates,2018,M,FC,HI,3,A,19.5,24.7,47.9,11.7,100,76.3,31.1
  391=,DUBLIN CITY UNIVERSITY (DCU),Ireland,2018,L,CO,HI,3,A,22.2,46.3,35.8,17.3,78.4,57.2,31
  391=,NATIONAL CENTRAL UNIVERSITY,Taiwan,2018,M,CO,VH,4,A,32.5,17.3,31.7,40.3,15.6,19.6,31
  391=,UNIVERSITY OF UTAH,United States,2018,L,FC,VH,5,A,21.2,11.1,60.1,38.2,16.3,17.2,31
394,UNIVERSITY OF COLORADO AT DENVER ,United States,2018,L,FC,VH,5,A,12.1,11.5,100,18.8,4.4,15.5,30.8
  395=,AMERICAN UNIVERSITY IN CAIRO,Egypt,2018,M,CO,HI,4,B,31,49.3,37.1,5.1,90.7,5.8,30.7
  395=,ILLINOIS INSTITUTE OF TECHNOLOGY,United States,2018,M,CO,VH,5,B,23.6,13.9,19,49.7,21.4,100,30.7
397,HUFS ?HANKUK (KOREA) UNIVERSITY OF FOREIGN STUDIES,South Korea,2018,L,CO,MD,4,B,18.7,31.5,78.3,2.1,37.9,39,30.6
  398=,"GOLDSMITHS, UNIVERSITY OF LONDON",United Kingdom,2018,M,FO,VH,5,A,27.3,13.2,25.5,19.7,85,97.2,30.5
  398=,JOHANNES GUTENBERG UNIVERSIT?T MAINZ,Germany,2018,XL,FC,HI,5,A,27.9,25.2,48.7,20.1,35.1,24.6,30.5
  398=,TAIPEI MEDICAL UNIVERSITY,Taiwan,2018,M,FO,VH,4,B,15.5,14.8,84.7,18.7,24.4,17.3,30.5
401-410,LEIBNIZ UNIVERSIT?T HANNOVER,Germany,2018,L,CO,VH,5,A,-,-,2.3,79.5,10.4,26.9,30.1
401-410,NATIONAL TECHNICAL UNIVERSITY OF ATHENS,Greece,2018,L,FO,VH,5,A,-,-,11.3,63.7,1.6,2.6,30.3
401-410,PETER THE GREAT ST.PETERSBURG POLYTECHNIC UNIVERSITY,Russia,2018,L,FO,VH,5,A,-,-,93.8,2.2,12.7,56.5,29.9
401-410,RUHR-UNIVERSIT?T BOCHUM,Germany,2018,XL,FC,VH,4,A,-,-,6.3,56.7,27.3,35.3,30.2
401-410,UNIVERSIDAD EXTERNADO DE COLOMBIA,Colombia,2018,M,CO,MD,5,B,-,-,99.8,1,10.6,,30
401-410,UNIVERSITAS GADJAH MADA,Indonesia,2018,XL,FC,MD,4,A,-,-,24,1.5,23.5,2.4,30.2
401-410,UNIVERSITY OF COIMBRA,Portugal,2018,L,FC,VH,5,A,-,-,17.7,25.3,8.3,41.2,29.8
401-410,V.N. KARAZIN KHARKIV NATIONAL UNIVERSITY,Ukraine,2018,L,FC,MD,5,A,-,-,78,1.8,1.3,89.9,29.9
401-410,VILNIUS UNIVERSITY ,Lithuania,2018,L,FC,HI,5,A,-,-,69.1,5.1,7,4.6,30
401-410,WASHINGTON STATE UNIVERSITY,United States,2018,L,FC,VH,5,A,-,-,22.5,32,66.8,12.7,30.4
411-420,AMERICAN UNIVERSITY OF SHARJAH,United Arab Emirates,2018,M,FC,MD,2,B,-,-,20.3,12.4,100,100,29.5
411-420,ARABIAN GULF UNIVERSITY,Bahrain,2018,S,CO,MD,3,A,-,-,69.7,2.6,99.5,100,29.2
411-420,BRANDEIS UNIVERSITY,United States,2018,M,CO,HI,4,B,-,-,28.4,44.1,15.1,83.7,29.4
411-420,KAZAKH NATIONAL TECHNICAL UNIVERSITY AFTER K.I.SATPAYEV    ,Kazakhstan,2018,M,FO,HI,4,A,-,-,97.1,1,2.5,3.5,29.7
411-420,TARAS SHEVCHENKO NATIONAL UNIVERSITY OF KYIV,Ukraine,2018,L,CO,HI,5,A,-,-,69.4,2.4,1.6,4.9,29.4
411-420,UNIVERSIDAD DE COSTA RICA,Costa Rica,2018,XL,CO,MD,4,A,-,-,37.2,1.8,,1.8,29.4
411-420,UNIVERSIT? AIX-MARSEILLE,France,2018,XL,FC,VH,5,A,-,-,13.8,26.1,26.3,36.2,29.7
411-420,UNIVERSITY OF OULU,Finland,2018,M,FC,VH,4,A,-,-,52.1,33.7,30.5,8.5,29.3
411-420,UNIVERSITY OF WARSAW ,Poland,2018,XL,CO,VH,5,A,-,-,29.1,7.3,8,10.8,29.2
411-420,WAKE FOREST UNIVERSITY,United States,2018,M,FC,VH,5,B,-,-,100,21.6,7.5,17.1,29.2
421-430,BILKENT UNIVERSITY,Turkey,2018,M,CO,VH,3,B,-,-,18,26.2,62.5,13.2,29.1
421-430,HITOTSUBASHI UNIVERSITY,Japan,2018,M,SP,HI,5,A,-,-,28.9,6,23.1,27.5,28.9
421-430,SHANGHAI UNIVERSITY,China,2018,XL,CO,VH,2,A,-,-,38.6,16.1,24.1,3.3,29
421-430,SWINBURNE UNIVERSITY OF TECHNOLOGY,Australia,2018,L,CO,VH,3,A,-,-,14,36.8,97.3,83.7,29
421-430,THE UNIVERSITY OF GEORGIA,United States,2018,XL,FC,VH,5,A,-,-,18.4,36,66.1,13.6,29.1
421-430,UNIVERSIT? DI PISA,Italy,2018,XL,FC,VH,5,A,-,-,9,22.4,10.2,6.2,28.9
421-430,UNIVERSITY OF CONNECTICUT,United States,2018,L,FC,VH,5,A,-,-,28.8,44.7,56.9,26.1,29.1
421-430,UNIVERSITY OF DELAWARE,United States,2018,L,CO,VH,5,A,-,-,11.1,76.3,33.6,25.8,28.8
421-430,UNIVERSITY OF IOWA,United States,2018,XL,FC,VH,5,A,-,-,30.8,41.6,7.5,29.1,28.8
421-430,UNIVERSITY OF TEXAS DALLAS ,United States,2018,L,CO,VH,3,A,-,-,7.3,65.7,23,70.8,29.1
431-440,BOND UNIVERSITY,Australia,2018,S,FC,HI,3,B,-,-,58.7,15,98.7,94.4,28.4
431-440,CHRISTIAN-ALBRECHTS-UNIVERSIT?T ZU KIEL,Germany,2018,L,FC,VH,5,A,-,-,57.1,23.5,11.9,14.7,28.4
431-440,CONCORDIA UNIVERSITY,Canada,2018,XL,CO,VH,3,A,-,-,6.8,27.1,75.3,87.5,28.5
431-440,FLORIDA STATE UNIVERSITY,United States,2018,XL,FC,HI,5,A,-,-,11.6,44.1,10.4,6.8,28.7
431-440,INDIAN INSTITUTE OF TECHNOLOGY ROORKEE (IITR),India,2018,M,FO,VH,5,A,-,-,14.1,81.8,1.9,2.1,28.4
431-440,KO? UNIVERSITY ,Turkey,2018,M,CO,HI,2,B,-,-,45.6,16.2,42.6,10.5,28.5
431-440,NATIONAL UNIVERSITY OF SCIENCES AND TECHNOLOGY (NUST) ISLAMABAD,Pakistan,2018,M,CO,VH,3,A,-,-,74.6,6.4,3.3,4.5,28.3
431-440,PONTIFICIA UNIVERSIDAD CAT?LICA DEL PER?,Peru,2018,L,FO,MD,5,B,-,-,18.7,1.8,5.5,3.9,28.7
431-440,SWANSEA UNIVERSITY,United Kingdom,2018,L,FC,HI,4,A,-,-,34.4,30.3,66,66.7,28.3
431-440,UNIVERSIDAD DE PALERMO,Argentina,2018,M,FO,MD,3,B,-,-,64,1.1,34.2,95.4,28.4
431-440,XIAMEN UNIVERSITY,China,2018,XL,FC,VH,4,A,-,-,24.8,43.8,10.6,8,28.3
441-450,AUCKLAND UNIVERSITY OF TECHNOLOGY ,New Zealand,2018,L,CO,HI,2,A,-,-,15.4,9.3,99,99.7,28.1
441-450,BANGOR UNIVERSITY,United Kingdom,2018,M,FC,HI,5,A,-,-,16.4,59.5,54.3,74.3,28
441-450,KAZAN FEDERAL UNIVERSITY,Russia,2018,L,FO,VH,5,A,-,-,73.7,2.3,5.9,27.8,27.9
441-450,OREGON STATE UNIVERSITY,United States,2018,L,CO,VH,5,A,-,-,31.1,35.6,58.9,28.1,28.1
441-450,SINGAPORE MANAGEMENT UNIVERSITY,Singapore,2018,M,SP,HI,2,A,-,-,9.3,21.3,100,65.3,27.9
441-450,SOGANG UNIVERSITY,South Korea,2018,M,CO,VH,4,B,-,-,44.8,16.4,11,12.5,27.8
441-450,UNIVERSIT? DEGLI STUDI DI TRENTO,Italy,2018,L,CO,VH,4,A,-,-,10.9,50.2,40.4,11.5,28.2
441-450,UNIVERSIT? PARIS DESCARTES,France,2018,XL,FC,VH,5,A,-,-,20.3,43.4,13.5,25.1,27.9
441-450,YORK UNIVERSITY,Canada,2018,XL,CO,VH,4,A,-,-,13.2,20.6,31.9,66,28.1
451-460,BEIJING INSTITUTE OF TECHNOLOGY,China,2018,L,FO,VH,4,A,-,-,32.1,36.2,6.8,10.5,27.5
451-460,INSTITUT NATIONAL DES SCIENCES APPLIQU?ES DE LYON (INSA),France,2018,M,FO,VH,4,A,-,-,43.6,8.9,34.1,90.2,27.7
451-460,KHALIFA UNIVERSITY,United Arab Emirates,2018,S,SP,HI,2,A,-,-,69.3,14.2,100,45.2,27.4
451-460,SULTAN QABOOS UNIVERSITY,Oman,2018,M,FC,HI,3,A,-,-,62.3,9.6,100,4.6,27.3
451-460,TULANE UNIVERSITY,United States,2018,M,FC,VH,5,B,-,-,74.8,18.4,16.7,25.9,27.6
451-460,UNIVERSIDAD DE SANTIAGO DE CHILE (USACH),Chile,2018,L,FC,MD,5,A,-,-,12.1,4.2,6.6,1.4,27.4
451-460,UNIVERSITY OF EASTERN FINLAND,Finland,2018,M,CO,VH,3,A,-,-,47.5,34,23.5,13,27.5
451-460,UNIVERSITY OF SASKATCHEWAN,Canada,2018,L,FC,VH,5,A,-,-,32.8,34.1,69.2,57.1,27.2
451-460,UNIVERSITY OF STIRLING,United Kingdom,2018,M,CO,VH,4,A,-,-,23.5,42.6,71.3,62.2,27.6
451-460,UNIVERSITY OF TENNESSEE,United States,2018,L,FC,VH,5,A,-,-,21.7,67.4,5.8,5.9,27.4
461-470,JAGIELLONIAN UNIVERSITY,Poland,2018,XL,FC,HI,5,A,-,-,39.4,6.2,4,10.2,27.1
461-470,MARTIN-LUTHER-UNIVERSIT?T HALLE-WITTENBERG,Germany,2018,L,FC,HI,5,A,-,-,81.3,8.4,11.2,16.6,26.7
461-470,PONTIFICIA UNIVERSIDAD JAVERIANA,Colombia,2018,XL,FC,MD,5,B,-,-,16.1,2.1,6.8,2.4,26.9
461-470,SABANCI UNIVERSITY,Turkey,2018,S,FO,VH,2,B,-,-,38.9,19.9,48.4,21.1,26.9
461-470,UNIVERSIDAD DE ZARAGOZA,Spain,2018,XL,FC,HI,5,A,-,-,59,12,3.5,12.1,26.7
461-470,UNIVERSIT? DEGLI STUDI DI FIRENZE (UNIFI),Italy,2018,XL,FC,VH,4,A,-,-,14.2,21.5,7.1,13.4,26.8
461-470,UNIVERSIT? DEGLI STUDI DI ROMA - TOR VERGATA,Italy,2018,XL,CO,VH,3,A,-,-,7.9,30.3,8.9,22.2,26.9
461-470,UNIVERSIT?T POTSDAM,Germany,2018,L,FO,VH,,,-,-,2.8,81.1,,25.7,27.1
461-470,UNIVERSITY OF NEW MEXICO,United States,2018,L,FC,VH,5,A,-,-,48,33.1,11.6,6.5,26.9
461-470,WAYNE STATE UNIVERSITY,United States,2018,L,FC,VH,5,A,-,-,75.3,21.5,19.2,23.6,27
471-480,AMERICAN UNIVERSITY,United States,2018,L,CO,HI,5,B,-,-,30,10.3,7.5,32,26.5
471-480,DONGGUK UNIVERSITY ,South Korea,2018,L,FC,HI,5,B,-,-,76.1,7.2,12.4,28.9,26.6
471-480,HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,China,2018,XL,FC,VH,4,A,-,-,18.1,52,12.7,8.1,26.5
471-480,IOWA STATE UNIVERSITY,United States,2018,XL,CO,VH,5,A,-,-,14.2,42.1,21.9,23.7,26.5
471-480,JOHANNES KEPLER UNIVERSIT?T LINZ (JKU),Austria,2018,M,CO,VH,4,A,-,-,24.9,27.6,67.4,24,26.4
471-480,KARL-FRANZENS-UNIVERSIT?T GRAZ,Austria,2018,L,CO,HI,5,A,-,-,17,17.7,52.8,37.1,26.5
471-480,KING KHALID UNIVERSITY,Saudi Arabia,2018,XL,FC,MD,2,A,-,-,77.4,1.4,100,24.5,26.6
471-480,MIDDLE EAST TECHNICAL UNIVERSITY,Turkey,2018,L,CO,VH,4,A,-,-,8.3,23.2,10.5,8.8,26.4
471-480,SHARIF UNIVERSITY OF TECHNOLOGY,Iran,2018,M,FO,VH,4,A,-,-,9.7,84.3,,1.3,26.4
471-480,TIANJIN UNIVERSITY,China,2018,XL,CO,VH,5,A,-,-,30.6,49.7,7.5,4.2,26.5
481-490,ABERYSTWYTH UNIVERSITY,United Kingdom,2018,M,CO,VH,5,A,-,-,30.6,34.4,61.8,43.4,26.2
481-490,CAIRO UNIVERSITY,Egypt,2018,XL,FC,HI,5,A,-,-,13.2,2.7,2.4,7.1,26.2
481-490,CHANG GUNG UNIVERSITY,Taiwan,2018,M,FO,VH,3,B,-,-,69,46.5,3.9,8.3,26.3
481-490,COLORADO STATE UNIVERSITY,United States,2018,L,CO,VH,5,A,-,-,28.9,23.5,25.3,11,26.1
481-490,JULIUS-MAXIMILIANS-UNIVERSIT?T W?RZBURG,Germany,2018,L,FC,VH,5,A,-,-,14.5,48.7,33.7,13.8,26.3
481-490,RENMIN (PEOPLEµ£) UNIVERSITY OF CHINA,China,2018,L,FO,VH,4,A,-,-,33.9,5.9,8.5,7.5,26
481-490,UNIVERSIT? CATTOLICA DEL SACRO CUORE,Italy,2018,XL,CO,VH,4,B,-,-,10.6,17.9,16.3,14.6,26.3
481-490,UNIVERSIT? DEGLI STUDI DI NAPOLI FEDERICO II,Italy,2018,XL,FC,VH,5,A,-,-,3.7,46.4,1.6,1.4,25.9
481-490,UNIVERSIT?T BREMEN,Germany,2018,L,CO,VH,3,A,-,-,25.6,23,29.1,20.9,25.9
481-490,UNIVERSITY OF DELHI,India,2018,L,FC,HI,4,A,-,-,7.8,11.7,2.7,1.7,26.1
481-490,"UNIVERSITY OF MARYLAND, BALTIMORE COUNTY",United States,2018,M,FC,VH,4,A,-,-,17.7,78.4,11.2,15.1,26.2
491-500,BOGAZI?I ?NIVERSITESI,Turkey,2018,M,CO,VH,5,A,-,-,5.6,33,19.1,16.5,25.8
491-500,CZECH TECHNICAL UNIVERSITY IN PRAGUE,Czech Republic,2018,L,SP,VH,5,A,-,-,26,9.5,5.9,42.3,25.7
491-500,JILIN UNIVERSITY,China,2018,XL,FC,VH,4,A,-,-,49,20.1,16.7,3.3,25.6
491-500,KAZAKH NATIONAL PEDAGOGICAL UNIVERSITY ABAI,Kazakhstan,2018,M,CO,LO,4,A,-,-,92.6,,19.5,9.4,25.3
491-500,POLIT?CNICA DE MADRID,Spain,2018,XL,SP,VH,3,A,-,-,21.1,10.9,3.2,33.6,25.2
491-500,PUSAN NATIONAL UNIVERSITY,South Korea,2018,L,FC,VH,4,A,-,-,34.7,21.8,8.1,11.1,25.2
491-500,"UNIVERSIDADE ESTADUAL PAULISTA ""J?LIO DE MESQUITA FILHO""",Brazil,2018,XL,FC,VH,3,A,-,-,27.4,10.8,5.9,3.3,25.8
491-500,UNIVERSIT? SAINT-JOSEPH DE BEYROUTH,Lebanon,2018,M,FC,MD,5,B,-,-,70.2,2.2,59.9,9.3,25.6
491-500,UNIVERSITY OF GUELPH,Canada,2018,L,CO,VH,4,A,-,-,9.5,40.9,46.9,15.5,25.3
491-500,URAL FEDERAL UNIVERSITY,Russia,2018,L,CO,HI,4,A,-,-,73.5,1.7,13.5,19.2,25.3
501-550,AMIRKABIR UNIVERSITY OF TECHNOLOGY,Iran,2018,L,FO,VH,4,A,-,-,-,-,-,-,-
501-550,ARISTOTLE UNIVERSITY OF THESSALONIKI,Greece,2018,XL,FC,VH,4,A,-,-,-,-,-,-,-
501-550,CHIBA UNIVERSITY,Japan,2018,L,FC,HI,5,A,-,-,-,-,-,-,-
501-550,CHONBUK NATIONAL UNIVERSITY,South Korea,2018,L,FC,HI,4,A,-,-,-,-,-,-,-
501-550,CITY UNIVERSITY OF NEW YORK,United States,2018,XL,CO,VH,5,A,-,-,-,-,-,-,-
501-550,CLARK UNIVERSITY,United States,2018,S,CO,HI,5,B,-,-,-,-,-,-,-
501-550,DREXEL UNIVERSITY,United States,2018,L,FC,HI,5,B,-,-,-,-,-,-,-
501-550,EAST CHINA NORMAL UNIVERSITY,China,2018,L,CO,VH,4,A,-,-,-,-,-,-,-
501-550,INDIAN INSTITUTE OF TECHNOLOGY GUWAHATI (IITG),India,2018,M,CO,VH,2,A,-,-,-,-,-,-,-
501-550,"KINGSTON UNIVERSITY, LONDON",United Kingdom,2018,L,CO,HI,5,A,-,-,-,-,-,-,-
501-550,LAPPEENRANTA UNIVERSITY OF TECHNOLOGY,Finland,2018,S,,,,B,-,-,-,-,-,-,-
501-550,LEHIGH UNIVERSITY,United States,2018,M,CO,VH,5,B,-,-,-,-,-,-,-
501-550,M.O.AUEZOV SOUTH KAZAKHSTAN STATE UNIVERSITY,Kazakhstan,2018,L,CO,LO,4,A,-,-,-,-,-,-,-
501-550,MURDOCH UNIVERSITY,Australia,2018,M,CO,VH,3,A,-,-,-,-,-,-,-
501-550,"NATIONAL TECHNICAL UNIVERSITY OF UKRAINE ""KYIV POLYTECHNIC INSTITUTE""",Ukraine,2018,L,FO,HI,5,A,-,-,-,-,-,-,-
501-550,"NATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY ""MISIS""",Russia,2018,M,CO,VH,4,A,-,-,-,-,-,-,-
501-550,OKAYAMA UNIVERSITY,Japan,2018,L,FC,HI,5,A,-,-,-,-,-,-,-
501-550,PEOPLE'S FRIENDSHIP UNIVERSITY OF RUSSIA,Russia,2018,L,FC,MD,4,A,-,-,-,-,-,-,-
501-550,PONTIFICIA UNIVERSIDADE CAT?LICA DE S?O PAULO (PUC-SP),Brazil,2018,M,FC,MD,4,B,-,-,-,-,-,-,-
501-550,PONTIFICIA UNIVERSIDADE CAT?LICA DO RIO DE JANEIRO - PUC - RIO,Brazil,2018,L,CO,HI,4,B,-,-,-,-,-,-,-
501-550,SOUTHEAST UNIVERSITY,China,2018,XL,FC,VH,5,A,-,-,-,-,-,-,-
501-550,SYRACUSE UNIVERSITY,United States,2018,L,CO,VH,5,B,-,-,-,-,-,-,-
501-550,TECHNISCHE UNIVERSIT?T BRAUNSCHWEIG,Germany,2018,L,CO,VH,5,A,-,-,-,-,-,-,-
501-550,TECHNISCHE UNIVERSIT?T GRAZ,Austria,2018,L,FO,VH,,,-,-,-,-,-,-,-
501-550,THE CATHOLIC UNIVERSITY OF KOREA ,South Korea,2018,M,FC,VH,5,B,-,-,-,-,-,-,-
501-550,UNIVERSIDAD DE GRANADA,Spain,2018,XL,FC,VH,5,A,-,-,-,-,-,-,-
501-550,UNIVERSIDAD DE MONTEVIDEO,Uruguay,2018,S,FC,LO,2,B,-,-,-,-,-,-,-
501-550,UNIVERSIDADE FEDERAL DE S?O PAULO (UNIFESP),Brazil,2018,L,FC,VH,4,A,-,-,-,-,-,-,-
501-550,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,Brazil,2018,XL,FC,VH,5,A,-,-,-,-,-,-,-
501-550,UNIVERSIT?T DES SAARLANDES,Germany,2018,L,FC,HI,4,A,-,-,-,-,-,-,-
501-550,UNIVERSIT?T HOHENHEIM,Germany,2018,M,,,,,-,-,-,-,-,-,-
501-550,UNIVERSIT?T LEIPZIG,Germany,2018,L,FC,VH,5,A,-,-,-,-,-,-,-
501-550,UNIVERSIT?T REGENSBURG,Germany,2018,L,CO,VH,4,A,-,-,-,-,-,-,-
501-550,UNIVERSIT? CLAUDE BERNARD LYON 1,France,2018,XL,FC,HI,5,A,-,-,-,-,-,-,-
501-550,UNIVERSIT? DE BORDEAUX,France,2018,XL,FO,VH,5,A,-,-,-,-,-,-,-
501-550,UNIVERSIT? DE FRIBOURG,Switzerland,2018,M,FO,VH,,,-,-,-,-,-,-,-
501-550,UNIVERSIT? DU QU?BEC,Canada,2018,XL,FC,HI,3,A,-,-,-,-,-,-,-
501-550,UNIVERSIT? PAUL SABATIER TOULOUSE III,France,2018,L,CO,VH,5,A,-,-,-,-,-,-,-
501-550,UNIVERSITY OF AVEIRO,Portugal,2018,L,SP,VH,,,-,-,-,-,-,-,-
501-550,UNIVERSITY OF BAGHDAD,Iraq,2018,XL,FC,MD,4,A,-,-,-,-,-,-,-
501-550,UNIVERSITY OF CINCINNATI,United States,2018,L,FC,VH,5,A,-,-,-,-,-,-,-
501-550,UNIVERSITY OF LIMERICK (UL),Ireland,2018,M,FC,HI,3,A,-,-,-,-,-,-,-
501-550,UNIVERSITY OF MACAU,Macau,2018,M,FO,VH,3,A,-,-,-,-,-,-,-
501-550,UNIVERSITY OF NEBRASKA,United States,2018,L,CO,VH,5,A,-,-,-,-,-,-,-
501-550,UNIVERSITY OF OKLAHOMA,United States,2018,L,FC,VH,5,A,-,-,-,-,-,-,-
501-550,UNIVERSITY OF PRETORIA,South Africa,2018,XL,FC,HI,5,A,-,-,-,-,-,-,-
501-550,UNIVERSITY OF SOUTH FLORIDA,United States,2018,XL,CO,VH,4,A,-,-,-,-,-,-,-
501-550,UNIVERSITY OF SZEGED,Hungary,2018,L,FC,HI,5,A,-,-,-,-,-,-,-
501-550,YOKOHAMA CITY UNIVERSITY,Japan,2018,S,CO,VH,5,A,-,-,-,-,-,-,-
551-600,ABO AKADEMI UNIVERSITY,Finland,2018,M,CO,VH,4,A,-,-,-,-,-,-,-
551-600,ATENEO DE MANILA UNIVERSITY,Philippines,2018,L,FC,LO,5,B,-,-,-,-,-,-,-
551-600,BAR-ILAN UNIVERSITY,Israel,2018,L,FC,HI,4,A,-,-,-,-,-,-,-
551-600,BEIHANG UNIVERSITY,China,2018,XL,CO,VH,4,A,-,-,-,-,-,-,-
551-600,CHIANG MAI UNIVERSITY,Thailand,2018,XL,FC,HI,4,A,-,-,-,-,-,-,-
551-600,COLLEGE OF WILLIAM & MARY,United States,2018,M,CO,VH,5,A,-,-,-,-,-,-,-
551-600,COVENTRY UNIVERSITY,United Kingdom,2018,L,CO,HI,5,A,-,-,-,-,-,-,-
551-600,DALIAN UNIVERSITY OF TECHNOLOGY,China,2018,XL,CO,VH,4,A,-,-,-,-,-,-,-
551-600,EAST CHINA UNIVERSITY OF SCIENCE AND TECHNOLOGY,China,2018,XL,CO,VH,4,A,-,-,-,-,-,-,-
551-600,FLINDERS UNIVERSITY,Australia,2018,L,FC,HI,4,A,-,-,-,-,-,-,-
551-600,HOWARD UNIVERSITY,United States,2018,M,FC,HI,5,B,-,-,-,-,-,-,-
551-600,INSTITUTO TECNOL?GICO DE BUENOS AIRES (ITBA),Argentina,2018,S,CO,MD,4,B,-,-,-,-,-,-,-
551-600,IRAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,Iran,2018,M,FO,VH,4,A,-,-,-,-,-,-,-
551-600,JUSTUS-LIEBIG-UNIVERSIT?T GIE?EN,Germany,2018,L,FC,HI,5,A,-,-,-,-,-,-,-
551-600,KANAZAWA UNIVERSITY,Japan,2018,M,FC,VH,4,A,-,-,-,-,-,-,-
551-600,KUMAMOTO UNIVERSITY,Japan,2018,M,FC,VH,4,A,-,-,-,-,-,-,-
551-600,LINGNAN UNIVERSITY (HONG KONG),Hong Kong,2018,S,SP,HI,5,A,-,-,-,-,-,-,-
551-600,MASARYK UNIVERSITY,Czech Republic,2018,L,CO,VH,4,A,-,-,-,-,-,-,-
551-600,MICHIGAN TECHNOLOGICAL UNIVERSITY,United States,2018,M,CO,VH,5,A,-,-,-,-,-,-,-
551-600,NAGASAKI UNIVERSITY,Japan,2018,M,CO,VH,4,A,-,-,-,-,-,-,-
551-600,NATIONAL RESEARCH SARATOV STATE UNIVERSITY,Russia,2018,M,CO,HI,5,A,-,-,-,-,-,-,-
551-600,OSAKA CITY UNIVERSITY,Japan,2018,M,FC,HI,5,A,-,-,-,-,-,-,-
551-600,PHILIPPS-UNIVERSIT?T MARBURG ,Germany,2018,L,FC,HI,5,A,-,-,-,-,-,-,-
551-600,SEJONG UNIVERSITY ,South Korea,2018,M,CO,VH,4,B,-,-,-,-,-,-,-
551-600,SHANDONG UNIVERSITY,China,2018,XL,FC,VH,5,A,-,-,-,-,-,-,-
551-600,SICHUAN UNIVERSITY,China,2018,XL,FC,VH,4,A,-,-,-,-,-,-,-
551-600,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,China,2018,XL,CO,VH,4,A,-,-,-,-,-,-,-
551-600,SOUTHERN FEDERAL UNIVERSITY,Russia,2018,L,CO,HI,5,A,-,-,-,-,-,-,-
551-600,TOKYO UNIVERSITY OF AGRICULTURE AND TECHNOLOGY ,Japan,2018,M,FO,VH,4,A,-,-,-,-,-,-,-
551-600,UMM AL-QURA UNIVERSITY (UQU),Saudi Arabia,2018,XL,FC,MD,4,A,-,-,-,-,-,-,-
551-600,UNIVERSIDAD DE ALCAL?,Spain,2018,L,FC,HI,3,A,-,-,-,-,-,-,-
551-600,UNIVERSIDAD NACIONAL DE LA PLATA,Argentina,2018,XL,FC,HI,5,A,-,-,-,-,-,-,-
551-600,UNIVERSIDADE FEDERAL DE MINAS GERAIS,Brazil,2018,XL,FC,VH,5,A,-,-,-,-,-,-,-
551-600,UNIVERSIT? DEGLI STUDI DI PAVIA (UNIPV),Italy,2018,L,FC,HI,5,A,-,-,-,-,-,-,-
551-600,UNIVERSIT? DEGLI STUDI DI TORINO (UNITO),Italy,2018,XL,FC,VH,5,A,-,-,-,-,-,-,-
551-600,UNIVERSIT?T BAYREUTH,Germany,2018,L,CO,HI,3,A,-,-,-,-,-,-,-
551-600,UNIVERSITAT DE VALENCIA,Spain,2018,XL,FC,VH,5,A,-,-,-,-,-,-,-
551-600,"UNIVERSIT? LILLE 1, SCIENCES ET TECHNOLOGIE",France,2018,L,FO,VH,5,A,-,-,-,-,-,-,-
551-600,UNIVERSIT? PANTH?ON-ASSAS (PARIS 2),France,2018,L,SP,LO,5,A,-,-,-,-,-,-,-
551-600,UNIVERSITY OF CANBERRA ,Australia,2018,M,CO,VH,3,A,-,-,-,-,-,-,-
551-600,UNIVERSITY OF JORDAN,Jordan,2018,XL,FC,MD,4,A,-,-,-,-,-,-,-
551-600,UNIVERSITY OF KENTUCKY,United States,2018,L,FC,VH,5,A,-,-,-,-,-,-,-
551-600,UNIVERSITY OF MANITOBA,Canada,2018,L,FC,VH,5,A,-,-,-,-,-,-,-
551-600,UNIVERSITY OF MONS ,Belgium,2018,M,CO,VH,,B,-,-,-,-,-,-,-
551-600,UNIVERSITY OF OREGON,United States,2018,L,CO,VH,5,A,-,-,-,-,-,-,-
551-600,UNIVERSITY OF SCIENCE AND TECHNOLOGY BEIJING,China,2018,L,CO,VH,4,A,-,-,-,-,-,-,-
551-600,UNIVERSITY OF TAMPERE,Finland,2018,M,CO,VH,4,A,-,-,-,-,-,-,-
551-600,UNIVERSITY OF ULSAN ,South Korea,2018,L,FC,VH,3,B,-,-,-,-,-,-,-
551-600,UNIVERSITY OF VERMONT,United States,2018,L,FC,HI,5,A,-,-,-,-,-,-,-
551-600,UNIVERSITY OF WESTMINSTER,United Kingdom,2018,L,CO,HI,,,-,-,-,-,-,-,-
551-600,VILNIUS GEDIMINAS TECHNICAL UNIVERSITY,Lithuania,2018,M,SP,HI,4,A,-,-,-,-,-,-,-
551-600,WESTERN SYDNEY UNIVERSITY,Australia,2018,XL,FC,HI,3,A,-,-,-,-,-,-,-
601-650,AMERICAN UNIVERSITY IN DUBAI,United Arab Emirates,2018,S,FO,MD,2,B,-,-,-,-,-,-,-
